标题,来源,时间,问题,回答
咨询,zh***g (辽宁),2009-06-15 09:10,老师您好请问贵校在辽宁招英语翻译专业吗？,没有
录取,15*** (浙江),2008-06-23 16:35,你好！我是浙江的，高考考了561，一本分数线是550，请问我有希望进入贵校吗？希望多大,"各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解。"
中外合作,da***ngshiyou (辽宁),2014-05-08 09:09,老师您好：贵校的二本中外合作专业和辽阳校区的外语专业在辽宁省属单列院校代码共有八个专业：金融，会计，国际商务，还有英，日，俄语，我只想报中外合作专业能否调剂到辽阳校区的外语专业，不服从调剂是不是就退档了。谢谢老师,您好，根据2014年新的变化，我校辽阳校区和中外合作办学专业按两个代码录取，若没有被中外合作办学专业录取，也不会被调剂到辽阳校区。中外合作办学的专业只录取有专业志愿的考生，如果未填报中外合作办学的专业，即使服从调剂，也不会被录取到该专业。
我是2014北京文科考生，请问贵校今年在京还招二志愿考生吗？,20*** (北京),2014-05-08 09:05,贵校招生简章何时发布？,您好，我校的招生简章正在整合当中，请您近期关注辽宁大学本科招生网。我校在一志愿未招满的情况下，会招第二志愿。
跨类转专业,su*** (福建),2013-06-28 15:50,老师好，请问贵校是否接受跨类转专业？例如：由英语转财政学。,按通识教育方案，是可行的。
吉林录取,xx*** (吉林),2013-06-28 14:58,老师好，请问贵校文科10-12年在吉林分别高出重点线多少分录取的？我今年文科535分，高出一本线25分，有希望录取吗？我想知道今年负责吉林招生老师联系电话，谢谢您。,请到辽宁大学本科招生网上查询一下往年的录取分数。http://zs.lnu.edu.cn
是否退档，专业调剂,li*** (山东),2013-06-28 14:50,老师你好：我是山东理科考生，山东今年实行平行志愿，如果专业服从调剂，贵校在提档后是否会退档？另外，如果调剂会有哪些专业？,调剂是在当年所在省招生计划涉及专业。
咨询,sh*** (上海),2013-06-28 14:48,尊敬的老师：我是上海徐汇区中学考生，2013年高考成绩426分，如按规定外省市在沪招生，学生可增加20分，暨446分，有希望进入您学校学习吗？O(∩_∩)O谢谢顺颂商祺工作顺利学生,请参考往年的录取情况吧，能否被录取，也得到录取时才知道。
平均分,qi***ng (安徽),2013-06-28 14:35,2012安徽计算机科学与技术（软件方向）理工四年本科沈阳市崇山校区3569564567.32012安徽计算机科学与技术（软件方向）理工四年本科沈阳市崇山校区2585579582.0。请问同一专业同一批次同一校区平均分怎么不一样？,一类是普通计划，一类是贫困生专项计划。
辽宁考生,fd***68 (辽宁),2013-06-27 16:39,你好！承不承认政策加分，588分加10能否被会计学，金融学，录取吗？,分专业时，去掉加分，按高考实际文化课成绩来录取。
咨询,we*** (河南),2013-06-27 16:11,老师你好，我是河南考生，理科高一本线39分，请问报考贵校有多大希望被录取。,请参考往年分数差。
广东文科生二本,gd*** (广东),2013-06-27 15:48,你好？请问贵校的二本专业分别有哪些？在广东有无招收二本生计划？,我校在广东省二本无招生计划。
陕西考生,ha***3 (陕西),2013-06-27 15:38,您好，今年我分数568分，高出一本线83分，位次在9200多，请问报考贵校被录取的可能性多大？能选个不错的专业吗？,请参考往年分数差吧。
录取问题,bu***2 (江苏),2013-06-27 15:05,老师不好意思，我又想起几个问题想打扰一下您。我江苏文科生330，想填贵校冲一冲。我想问如果被贵校退档，贵校是否立即将我档案退回不耽搁呢？另外想问贵校招生比例如何。谢谢释疑，期盼。,录取是按统一时间要求的，不会耽搁。我校的提档比例不高于110%。
中外合作,zs***15 (黑龙江),2013-06-27 14:44,贵校在黑龙江省二表A的中外合作招生是英国还是澳大利亚，入校后有出国机会吗,是和澳大利亚维多利亚大学合作办学的。“2+2”的办学模式，后两年可以出国，也可以不出国。
zx,sx*** (陕西),2013-06-27 14:43,陕西理科考生今年考试成绩为531超出一本线46分排名21491请问如果报考贵校录取的可能性有多大,请参考往年录取分数吧。
转专业,sh*** (江苏),2013-06-27 13:05,您好！请问辽大是否能够转专业？转专业的条件是什么？江苏省学生往年报考该校的人数情况是什么？,[关于转专业介绍如下：辽宁大学已正式实施通识教育人才培养方案。通识教育人才培养方案将教学安排划分为通识教育、学科教育、专业教育、实践环节四个层级递进的教学平台。在通识教育平台，有素质教育、思想政治教育和专项教育三种课程类型。其中，根据学校专业设置特点，素质教育课程又分为五大模块，即社会科学、人文学科、公共艺术、自然科学、应用技术。这些课程的设置具有综合性、公共性、贯通性的特点，有利于促进学生形成宽阔的知识视野，掌握获取不同领域知识的方法，为综合素质培养奠定重要的知识基础。因此，要求实施通识教育人才培养方案的专业学生按规定在相应模块中选修课程。第一学年课程结束后，根据课程学习成绩，允许部分学习成绩优异的学生在文科类、理工类学科各自范围内重新选择专业。重新选择专业控制规模为转出人数不超过所在专业招生规模的10%，转入人数不超过转入专业招生规模的10%。考虑到办学具体情况，部分学院未列入通识教育人才培养方案。
中外合作专业问题,zh*** (北京),2013-05-09 12:45,1.会计与工商管理专业合作院校是英国还是澳大利亚？2.北京市优秀学生干部加分进校和分专业认可吗？3.报中外合作办学专业的外地学生是否还需到沈阳面试？,在北京地区招收的合作办学专业都是与英国德蒙福特大学合作办学的。投档到校时，根据各省市招办规定，学校接收加分投档考生；但分配专业时，以实际分数进行录取。辽宁省外生源不需到校加试，但要求英语成绩不低于90分。
咨询,zh*** (上海),2013-05-09 12:32,中外合作专业校区和非中外合作校区在一起上课吗,办学地点及校址：理工类各专业学生在沈阳崇山校区就读（沈阳市皇姑区崇山中路66号），其他专业学生在沈阳蒲河校区就读（沈阳市沈北新区道义南大街58号）；辽宁省二批次录取的本科外语类各专业学生在辽阳武圣校区就读（辽阳市青年大街38号）。
录取咨询,zh*** (上海),2013-05-09 11:53,老师您好:我是上海考生，请问专业志愿录取规则?,[录取原则：（1）学校志愿录取按相关省市区要求执行;（2）艺术类本科专业按“志愿清”原则录取，即专业志愿优先；其他本科专业按“分数清”原则录取，即“分数优先，遵循志愿”：就是将考生按高考文化课成绩从高到低逐分排序，按序逐个检索和满足考生所填报的系列志愿，第一志愿额满，逐次检索其第二、第三志愿；（3）报考同专业高考文化课成绩并列考生，录取顺序为：首先，享有省招考委认定具备加分者优先；其次，专业志愿靠前者优先；再次，具体科目分数高者优先，科目优先顺序为：①文、史、哲、法科类专业排序为语文、外语、数学；②理、工科类专业排序为数学、外语、语文；③经济、管理学科类专业排序为数学、外语、语文；④外语类专业排序为外语、语文、数学；⑤中外合作办学类专业排序为外语、数学、语文；（4）江苏省普通类考生，选测科目要求等级为AB及以上，必测为4C1合格，进档后考生采用“先分数后等级”的排序方法录取。
咨询,zf*** (江苏),2013-05-09 09:49,老师您好，我是江苏考生，想请问您贵校去年在江苏录取的最低位次是多少?专业录取时是否认可照顾加分?专业录取的方式是什么?有无专业级差?谢谢您了!,[录取原则：（1）学校志愿录取按相关省市区要求执行;（2）艺术类本科专业按“志愿清”原则录取，即专业志愿优先；其他本科专业按“分数清”原则录取，即“分数优先，遵循志愿”：就是将考生按高考文化课成绩从高到低逐分排序，按序逐个检索和满足考生所填报的系列志愿，第一志愿额满，逐次检索其第二、第三志愿；（3）报考同专业高考文化课成绩并列考生，录取顺序为：首先，享有省招考委认定具备加分者优先；其次，专业志愿靠前者优先；再次，具体科目分数高者优先，科目优先顺序为：①文、史、哲、法科类专业排序为语文、外语、数学；②理、工科类专业排序为数学、外语、语文；③经济、管理学科类专业排序为数学、外语、语文；④外语类专业排序为外语、语文、数学；⑤中外合作办学类专业排序为外语、数学、语文；（4）江苏省普通类考生，选测科目要求等级为AB及以上，必测为4C1合格，进档后考生采用“先分数后等级”的排序方法录取。
理科会计金融专业中外合作办学有公费吗,53*** (辽宁),2013-05-08 12:11,您好请问贵校会计学金融学、国际经济与贸易等财经类专业中外合作办学的有公费出国的吗预估分590能进这类专业吗？不好意思午餐时间了谢谢,合作办学专业费用需自行承担。
咨询,19*** (河南),2012-06-27 15:52,您好我是河南的考生，理科571分，过一本线31分，报贵校被录取的可能性大吗？在专业上的选择余地大吗？谢谢！,还是请参考我校往年录取情况，自行判断吧。我校分专业原则是分数优先，遵循志愿的原则。可以考虑将中意的专业排序靠前。
有关录取问题,ca*** (辽宁),2012-06-27 13:07,老师你好，我是今年辽宁文科考生，高考成绩586，今年辽宁一本线563，我高出一本线23分。但因将贵校填在一本A段第二志愿的位置，服从调配。不知能被贵校录取的可能性有多大？,到录取的时候，如果填报的专业都未录取上的话，专业志愿不服从调剂，那就要被退档的。
报考咨询,55*** (山东),2012-06-27 11:01,老师您好，去年的播音主持专业名次在山东录取到多少名？,录取到27名。
咨询,14***9 (湖北),2012-06-27 10:03,我只高理工一本线7分，若报贵校，能否调档？若有机会被调，可否选择应用物理学，测控技术与仪器，材料化学，信息科学与技术，电气工程及其自动化或计算机科学与技术等专业？若能解答，不胜感激，谢谢！,无法给出确切回答，请到我校本科招生网上查看一下往年录取分数。
报考,ty*** (山西),2012-06-27 09:11,山西考生，广播电视编导专业，取得贵校合格证，排名第五，文化超过山西二本90%，第一志愿报考如何？,文化课合格，专业排名理想。我校该专业在山西省招生计划数为10人。
关于录取,92***o (陕西),2012-06-27 09:10,我是陕西文科考生，高出一本13分，是否可报贵校？若档案被提走且服从调剂是否可能因为处于低分段被退档？谢谢老师。,我校尽量降低调档比例。没有调档后在专业志愿服从情况下因为分数低退档。从历史录取来看，调档后，因为专业志愿不服从退档的学生多于多调档的学生。
加分，录取,as***1 (河北),2012-06-26 16:29,你好，我是河北文科考生，裸分601，农村独生子女加10分，总分611，想报考贵校。请问贵校是否在调档和专业录取时承认加分，我有多大把握被贵校录取且不被专业调剂。,在分专业时，是以实际分数来分专业。
中外合作办学,yt*** (浙江),2012-06-26 11:58,中外合作办学是否出国由什么决定?是否考生自己意愿出国就可以出国？若出国，费用大约多少？,由学生自己决定。当然，出国要达到一定的学习成绩和其他条件。具体的费用可以咨询我校亚澳商学院024-62602050，新华国际商学院024-62602151
录取资讯,lf*** (辽宁),2012-06-26 11:51,我是辽宁考生今年566分今年还有一本补录么,如果我校在第一次投档未录取满的情况下，是继续录取征求志愿的。具体情况得到实际录取中才能知道。
咨询,13***22 (河北),2012-06-26 11:42,你好，我是河北的考试，是高水平运动员，学校在阳光平台拟录取了，但我们这里没有给准考证，请问我应该怎么填报志愿。,请咨询一下，当地招办。
咨询,wx*** (天津),2014-05-09 14:16,我是天津文科考生，是不是分数要达到天津的一本线以上，才有可能被录取？你们在天津招生一本分数线上下浮动吗,您好，由于每年的报考情况不同，无法确定可能被录取的分数，详情可参考辽宁大学本科招生网上的信息。
山东理科生,wz***8 (山东),2014-05-09 14:14,请问:贵校今年提前批在山东由招生计划吗?非国防生?,您好，我校的招生计划正在整理中，可近期关注辽宁大学本科招生网站上的信息。
中外合作,fl*** (辽宁),2014-05-09 12:12,老师您好，请问亚奥商学院国际会计方向专业，辽宁理科今年计划招生人数是多少？,[1、有关我校2014年亚澳商学院在辽宁的招生计划正在整合与核对当中，基本与去年持平，详情以当地招办公布为准；2、亚澳商学院只录取有专业志愿的考生，如果未填报亚澳商学院的专业，即使服从调剂，也不会被录取到该专业；3、亚澳商学院要求英语成绩不低于英语满分的60%，会计学专业还要求数学成绩不低于数学满分的60%。
录取方式,ha***t (辽宁),2014-05-09 11:33,老师好，听说录取方式有3种：分数优先、分数级差、专业优先，请问贵校是哪种？谢谢！,您好，我校的录取方式为“分数优先，遵循志愿”。
优秀团员,96*** (辽宁),2014-05-09 10:56,你好！辽宁省2012年优秀团有照顾吗,您好，关于优秀团员的问题，高校没有相关政策，请咨询省招办。
中外合作专业,xi*** (辽宁),2014-05-09 09:53,请问：2014年二本中外合作的三个专业在辽宁拟招多少人（文科）？自愿是否和二本其他专业一起填报？谢谢,[1、有关我校2014年二本中外合作办学专业在辽宁的招生计划正在整合与核对当中，基本与去年持平，详情以当地招办公布为准；2、中外合作办学专业与其他二本专业一起填报。中外合作办学的专业只录取有专业志愿的考生，如果未填报中外合作办学的专业，即使服从调剂，也不会被录取到该专业；3、二本的中外合作办学专业要求英语成绩不低于英语满分的60%，会计学专业还要求数学成绩不低于数学满分的60%。
关于拟录取高水平运动员填报专业的问题,ju***ing (北京),2014-05-09 09:32,关于拟录取高水平运动员填报专业是否有特殊要求？,详情请电话咨询024-62202299
想知道2013年广播电视编导专业录取到省统考的名次,tl*** (辽宁),2014-05-09 09:15,今年省统考广播电视编导专业185.2分，大概300名左右，文化能过二本线，辽宁大学网上查不到2013年录取情况，望告知！,您好，关于2013年我校广播电视编导的录取情况可见辽宁大学本科招生网。
2014年在辽宁有一本B段招生的专业吗,jz*** (辽宁),2014-05-09 09:06,如题,您好，2014年我校在辽宁省一本B段招生的专业为中外合作办学的新华国际商学院，其专业包括会计学、工商管理、市场营销。
咨询是否可以双学位学习其他专业？,mi***0 (辽宁),2014-05-08 14:49,请问录取到合作办学的学生是否可以学习其他专业，获得双学位证书？是否有专业或其他条件限制学习双学位？,您好，我校没有双学位专业。
少数民族加分承认吗？,lm*** (北京),2014-05-08 14:07,老师您好，我是北京理科考生，请问1、北京考生在贵校投档承认少数民族加分吗？专业安排承认少数民族加分吗？2、贵校哪些专业有2+2或3+1+1国际合作培养项目？3、中外合作办学项目学位证书和本校其他统招学生相同吗？,1、我校承认投档时的加分，分专业时以文化课成绩（不含加分）分专业2、我校中外合作办学类专业在北京招生的为新华国际商学院的专业3、中外合作办学专业与我校其他专业颁发的证书是一样的
再咨询,20*** (北京),2014-05-08 11:32,请问贵校北京二志愿招生，一二志愿间设分数级差吗？谢谢,您好，我校的志愿之间无级差。
贵校只招理科生？,ch***u (辽宁),2014-05-08 11:04,比如汉语言文学专业也只招理科生吗？,您好，我们学校有些专业只招收文科生，有些专业只招收理科生，详情可登录辽宁大学本科招生网作参考。
新华商学院和亚奥商学院针对本省考生确定的口语加试时间,12*** (辽宁),2014-05-08 10:28,请问口语加试的时间定了吗？,您好，今年我校的中外合作办学专业取消了省内的英语测试，新华国际商学院要求考生高考英语的单科成绩不低于英语满分的70%；亚澳商学院要求考生高考英语的单科成绩不低于英语满分的60%，其中会计学（国际会计方向）专业还要求数学成绩不低于数学满分的60%。
2014年第二批本科都有什么专业？,ji***8888 (辽宁),2014-05-08 10:05,如题,[在辽宁省的二批本科专业有两种，一是中外合作办学的亚澳商学院，有三个专业：国际商务、会计学（国际会计方向）、金融学。二是暂定辽阳校区的外语类专业和国际经济与贸易专业，外语类专业包括英语、日语和俄语。详情请关注辽宁大学本科招生网，目前可参考该网站的2013年招生简章，2014年的招生简章会在近期公示。
辽宁大学二批本,wa***ang (山西),2008-05-12 12:41,请问辽宁大学二批本科除联办之外有哪些专业?,外语类专业（辽阳学区），具体见公示区
baokao,zh***in (北京),2008-05-12 11:29,我是北京考生，今年考贵校上二批次控制线多少分才能被贵校录取？,高考录取分数高低由报考生源多少及成绩决定，故录取工作开始以前无法对其预测。
辽大外语系今年招多少人?,zh*** (辽宁),2008-05-12 11:13,辽大外语系今年招多少人?在辽宁各市还分名额吗?,招生计划参看公示区，在辽宁各市不分名额
文科模拟分540能否录取贵校？,zx*** (辽宁),2008-05-12 10:08,文科模拟分540能否录取贵校？,高考录取分数高低由报考生源多少及成绩决定，故录取工作开始以前无法对其预测。
高考咨询,zh*** (辽宁),2008-05-12 09:56,请问老师今年辽大2+2的专业今年招生多少名？学费多少？,与英国德蒙福特大学合作办学150人26000元/每年（国内）与澳大利亚维多利亚大学合作办学360人20000元/每年（前两年国内），22000元/每年（后两年国内）详见公告区
关于体检的问题,wa***ng (辽宁),2008-05-12 09:37,辽大对于乙肝病毒携带的学生[大3阳肝功正常是否录取？有其他的限制政策吗？,我校执行教育部《普通高等学校招生体检工作指导意见》，不另行要求。
今年该校在陕西文科的招生计划是多少?,sh***n (陕西),2008-05-12 09:17,在提前批次中有文科的招生计划吗?是按一本线录取还是按二本线录取.,历史学5人，旅游管理5人，法学5人
三表,yl*** (黑龙江),2007-06-28 16:38,我是黑龙江的考生，女孩子，文科，440分，咨询一下，能上贵校的三表会计学吗？很着急的，麻烦您了。,高考录取分数高低由报考生源多少及成绩决定，故录取工作开始以前无法对其预测。
您好！！！,li***00299 (辽宁),2007-06-28 12:58,请问贵校是否有自主招生的院系，都有什么专业，学费是多少？谢谢,我校无自主招生
老师你好,zw*** (辽宁),2007-05-22 14:25,我想知道贵校辽阳校区是不是属于师范类?毕业后的文凭是辽宁大学的吗?谢谢,今年招生的专业有英语、英语（国际贸易方向）、英语（国际法方向）、俄语、俄语（国际贸易方向）、日语、日语（国际贸易方向）。毕业后的文凭是辽宁大学的。
咨询,du*** (辽宁),2008-06-12 11:47,老师您好:请问贵校一表B段的中外合作办学专业类如何收费，估分在520分是否有希望录取(辽宁文科考生)谢谢!,头两年每年２６０００人民币，后两年不出国每年２６０００人民币，如后两年出国每年学费７９９０英镑
预科,hn*** (河南),2008-06-12 11:42,今年贵校在河南招收预科生吗？如果有，文科计划有多少？07年在河南预科生文科最低多少分？谢谢,没有预科
请问,bi*** (陕西),2008-06-12 11:30,贵校有什么专业最有特色?,辽宁大学设有世界经济、国民经济学和金融学3个国家重点学科，32个省重点学科；设有国家经济学基础人才培养基地。我校文史经济管理类专业优势较明显
河南的．．．,zu*** (河南),2008-06-12 11:09,我是河南的理科美术考生　只参加了省统考　　可是想报辽宁的学校　　　不知道你们那里哪学校按河南的统考成绩收的？？能帮我下么　　　　　谢谢老师．．,我校在河南省今年无艺术类招生计划
双学位,ji*** (辽宁),2008-06-12 10:51,请问艺术类考生如果被贵校录取，入学后可否修双学位？,我校的双学位，需要毕业后方可报考
告偶吧,zh***iyin (天津),2008-06-12 10:35,请问贵校在津招生理科二本最低分数是多少那些专业报考人数较少？谢~~~~~！,请到zs.lnu.edu.cn查询
请教,me*** (山西),2008-06-11 16:18,山西考生，第一志愿报考贵校一本A，以往年情况，一般需要高出我省重点线多少分报考机会大些,请到zs.lnu.edu.cn查询近年分数线
学位点,sj***g (辽宁),2008-06-11 16:11,请问你校法学专业有博士点吗?什么方向?多谢!,法学有经济法博士点
咨询,z2*** (辽宁),2008-06-11 16:11,我是辽宁考生，美术专业在256，文化课在340左右请问能否上了贵校？,我校２００７年文化课３３１，艺术分３０６
Help,15*** (贵州),2008-06-11 15:25,你好，我是贵州一理科考生，分数预计570，省里估一本线为520（由于今年题目相对较难），可以报考你们学校么,请到zs.lnu.edu.cn　查询近年分数
咨询,82*** (辽宁),2008-06-11 10:55,贵校07.06年广告学二个专业.专业辽宁艺术(文)录取分是多少.谢谢,３０６
安徽理科,jt*** (安徽),2008-06-11 09:57,我是安徽的，理科，今年估计在一本线附近，能不能报考你们学校?,"各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解。"
0411,04***746 (辽宁),2008-05-14 17:00,国家重点学科有那些?优势专业有那些?入学后能转专业吗?辽宁为平行志愿，贵大学调档比例为多少?辽宁理科高一本线50分能录取吗?入学后能转专业吗?,辽宁大学设有世界经济、国民经济学和金融学3个国家重点学科，32个省重点学科；设有国家经济学基础人才培养基地。入学后一般不能转专业，所以请考生一定把握好填报志愿的机会，用心斟酌。我校调档比例为105%。
商学院,jo*** (辽宁),2008-05-14 16:35,2007年理录取分数线,2007年辽宁理科一批A段，辽宁大学录取线519
毕业证书,he*** (辽宁),2008-05-14 16:12,老师您好：我是辽宁文科生，请问贵校在B段、二批本科录取的专业毕业证书与一批本科毕业证书和学位证是否一样？,我校一批A段、B段、二批本科的毕业证书和学位证书相同。
辽大,04*** (辽宁),2008-06-14 10:04,老师您好，请问辽大允许转专业吗?今年到会计专业要多少分?经济类专业分数怎么样?,　　无特殊情况，不能转专业．
分差和毕业证,hh*** (辽宁),2008-06-14 10:03,请问贵校有专业级差或分差吗？二本毕业证和一本一样么？,"[　普通类专业志愿录取按“分数清”录取，即“分数优先，遵循志愿”：就是将考生按投档分数从高到低逐分排序，按序逐个检索和满足考生所填报的系列志愿，第一志愿额满，逐次检索其第二、第三志愿；艺术类专业仍实行""志愿清""原则,即专业志愿优先，没有分数差，二本毕业证书和一本证书一样发辽宁大学毕业证书．"
咨询,tp*** (辽宁),2008-06-14 09:19,您好，我是辽宁理科考生估分540分，能入贵校那些专业.,"各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解。2007年我校理科一批A段录取分数线519分."
急问志愿分差,xi*** (河南),2008-06-13 15:25,老师您好！我弟弟是河南考生（文），估分604。请问贵校是否招收二志愿考生？如果招收是否有志愿分差？多少分？谢谢！！！,　　我校第一志愿未满情况下招收二志愿考生，没有志愿差
咨询志愿分差,xi*** (河南),2008-06-13 15:07,老师您好！我是河南考生（文），估分604。我想一本二志愿报考贵校，请问贵校是否有志愿分差？,一志愿未满情况下招收二志愿考生，没有志愿分差
报考咨询,10***42 (辽宁),2008-06-13 13:15,我是本省艺术类考生，专业分数为340分，文化估分为345分左右，能否有希望报贵校？,　　请问你艺术类什么专业？
报考咨询,10***42 (辽宁),2008-06-13 13:14,我是本省艺术类考生，专业分数为340分，文化估分为345分左右，能否有希望报贵校？,请问你艺术类什么专业
咨询,je***28 (辽宁),2008-06-13 13:10,有一个考生是这样的，他的眼睛有问题，一个眼睛基本看不见，另一个眼睛经过调整也达不到4.8，他应该报什么样的专业啊,我校执行教育部《普通高等学校招生体检工作指导意见》，不另行要求
录取（陕西考生）,cc*** (陕西),2008-06-13 10:24,请问：我文科估分550，可报考贵校吗,"各位考生，近来接到许多电话和网上留言，询问录取分数或是否能被录取的问题，对此需要说明的是,录取分数线是由报考考生的多少和报考考生的分数决定的，在录取前无法知晓，学校本着对考生负责的态度，亦不能随意预测，故请广大考生谅解。"
艺术生,cu***ng (辽宁),2008-06-13 10:23,我是辽宁考生贵校艺术类考生是否要英语小分,我校只看总分，不看外语小分
zixun,hb*** (河北),2008-06-13 09:40,学校讲学习年限为本科学制为4年的专业学习年限3至7年，高职或专科学制为3年，学习年限为3至7年，这是什么意思.,以四年为基础，如果３年修满应修学分可以提前毕业，如４年不能修满应修学分，可以最多延长至７年毕业．
录取分数,yb*** (辽宁),2008-06-13 09:38,我是辽宁考生，贵校在辽宁最低录取分数在一本线上大概是多少分？进档后，所报专业未被录取，但报了服从专业调剂，是否一定录取，不会被退档。,　　我校投档比例为１０５％．增加计划由教育部和省教育厅审批决定，在计划一定的情况下，一般不可能超额录取。
请教！,pa*** (黑龙江),2008-06-12 15:24,黑龙江文科招生计划是多少？,参看公告区
对外汉语专业,sh*** (辽宁),2008-06-12 12:52,我想咨询一下贵校对外汉语专业是一批本科吗？,是一本专业
专业分,ji*** (贵州),2008-06-12 12:17,请问贵校近年制药以及生物工程专业在贵州招收的分数线.谢谢,请到zs.lnu.edu.cn网站中的＂历史录取＂中查询
口试问题,nz*** (黑龙江),2008-05-14 13:56,贵校关于报考外语专业的口试要求是:根据生源的相关要求执行，是什么意思?,我校对报考外语专业没有口试要求，如生源地省招生部门有规定，执行当地规定
毕业证书,he*** (辽宁),2008-05-14 11:21,您好：我是辽宁文科考生请问老师贵校在B段、二批本科招生的专业毕业后于一批本科的毕业证有无不同？是否带有学院字样？学位证是否一样？辽宁2006年文史类A段录取1217人，一愿上线数1729人，请问一愿上线数是指在辽宁的第一志愿报辽大一批控制分数线538分以上的人数吗？请详细给解释一下。谢谢！,在B段、二批本科招生的专业毕业后和一批本科的毕业证一样发辽宁大学毕业证书．一愿上线数指一志愿报辽宁大学，且分数达到省一本控制分数线人数
咨询,cy*** (天津),2008-05-14 09:46,如报贵校第一专业志愿未录，转入贵校另一专业，比该专业第一志愿的考生考分高，将肯定能被录取吗？　贵校特色专业有那些？　　今年在天津共招多少人？　　去年在天津的录取分数线怎样？,今年除艺术类专业外，普通类各专业录取实行专业的“平行志愿”，即分数优先。我校的经济类专业较有特色。
招生计划,xi***a (辽宁),2008-05-14 09:30,辽大08年的招生计划什么时候能出台呢？,进入公告区可查看
乙肝表面抗原阳性,sh***1 (北京),2008-05-14 09:04,本人为“乙肝表面抗原阳性，大三阳”考生！请问贵校是否招收我这样的考生！如果招收有没有什么限制条件呢？,我校执行教育部《普通高等学校招生体检工作指导意见》，不另行要求。
河北1,ka*** (河北),2008-05-13 15:53,另外，普通本科入贵校后，还能转国防生吗，具体有什么要求？谢谢,可以，请拨国防生选拔培训办公室０２４－６２２０２２７０
河北,ka*** (河北),2008-05-13 15:47,请问：贵校今年在河北的国防生计划多少，什么专业？还有去年国防生录取线是多少？谢谢,请到zs.lnu.edu.cn网站查询
体检,du*** (辽宁),2008-05-13 11:01,色弱限报贵校哪些专业,化学、应用化学（含产品质量检验方向）、材料化学、无机非金属材料工程、食品科学与工程、环境科学、环境工程、生态学、制药工程、生物科学、生物技术、生物化学与分子生物学等专业要求无色弱色盲。
考生不宜报考专业有何规定,wd*** (辽宁),2008-05-13 10:27,请问老师，对于因视力等原因，考生不宜报考专业，如考生想报考，贵校有何规定，如考生分数够，贵校是否会拒绝录取不宜报考的考生.,我校执行教育部《普通高等学校招生体检工作指导意见》，并不另行要求。
商学院,ga***2000 (辽宁),2008-05-12 14:46,商学院成绩符合要求者方可申请赴国外学习.请解释一下?,亚澳商学院咨询电话：024-62602020新华国际商学院咨询电话：024-62602051
如果105%提档是否都能被入取？,to*** (辽宁),2008-05-12 14:35,如果105%提档是否都能被入取？,增加计划由教育部和省教育厅审批决定，在计划一定的情况下，一般不可能超额录取。
高考咨询,zh*** (辽宁),2008-05-12 13:59,有关辽大2+2是怎样报考的?后2年是在国外读书吗?在国外的学费是多少?谢谢!,可以在院校信息的公示栏中查看详细介绍
招生计划,li***i (辽宁),2008-05-12 13:23,08年该校在辽宁二批次中还有招生计划吗?有是什么专业?谢谢!,参看公示区
关于辽大招生计划,12*** (辽宁),2008-05-12 13:04,今年贵校在辽宁文史类的计划是多少?,参看公示区
辽宁大学,12*** (辽宁),2008-05-12 12:42,2008年辽大在辽宁招收文史类学生的计划是多少?,参看公示区
